Trial 0, Params: {'learning_rate': 0.001139778634059735, 'depth': 6, 'colsample_bylevel': 0.27859587653777873, 'min_data_in_leaf': 92, 'l2_leaf_reg': 1.960072468996326, 'grow_policy': 'Depthwise'}, Value: 0.2120176037740107
Trial 286, Params: {'learning_rate': 0.0926207959272174, 'depth': 3, 'colsample_bylevel': 0.9695889585216021, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.0482211668132329, 'grow_policy': 'Lossguide'}, Value: 0.4233709185060702
Trial 287, Params: {'learning_rate': 0.07788577569389624, 'depth': 10, 'colsample_bylevel': 0.5703723989994558, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.114066894626304, 'grow_policy': 'Depthwise'}, Value: 0.5909595337181767
Trial 288, Params: {'learning_rate': 0.09341112527736774, 'depth': 10, 'colsample_bylevel': 0.8921451005630574, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.1703600269009142, 'grow_policy': 'Depthwise'}, Value: 0.6251609053591503
Trial 289, Params: {'learning_rate': 0.09960878012905962, 'depth': 10, 'colsample_bylevel': 0.9412935124042909, 'min_data_in_leaf': 34, 'l2_leaf_reg': 1.0940717597053422, 'grow_policy': 'SymmetricTree'}, Value: 0.5870182575538434
Trial 290, Params: {'learning_rate': 0.09985842128007971, 'depth': 10, 'colsample_bylevel': 0.7249689905715762, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.2473275578643084, 'grow_policy': 'Depthwise'}, Value: 0.6296458248514181
Trial 291, Params: {'learning_rate': 0.0848301131644784, 'depth': 10, 'colsample_bylevel': 0.8952464848785088, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.0305432883495391, 'grow_policy': 'Depthwise'}, Value: 0.6092462499031985
Trial 292, Params: {'learning_rate': 0.08701205205893574, 'depth': 10, 'colsample_bylevel': 0.925223787161913, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.1467334426640796, 'grow_policy': 'Depthwise'}, Value: 0.618679369872129
Trial 293, Params: {'learning_rate': 0.09178440325330689, 'depth': 10, 'colsample_bylevel': 0.9593182839729768, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.0830088947814611, 'grow_policy': 'Depthwise'}, Value: 0.6283833008714448
Trial 294, Params: {'learning_rate': 0.00384654716759328, 'depth': 10, 'colsample_bylevel': 0.8712030542510322, 'min_data_in_leaf': 38, 'l2_leaf_reg': 2.238905410530735, 'grow_policy': 'Depthwise'}, Value: 0.138681619087704
Trial 295, Params: {'learning_rate': 0.09983748591379762, 'depth': 6, 'colsample_bylevel': 0.9990373076192387, 'min_data_in_leaf': 79, 'l2_leaf_reg': 1.2044046460352051, 'grow_policy': 'Depthwise'}, Value: 0.5912146514628451
Trial 296, Params: {'learning_rate': 0.08077732293077602, 'depth': 10, 'colsample_bylevel': 0.905664459137101, 'min_data_in_leaf': 46, 'l2_leaf_reg': 1.0418381872878575, 'grow_policy': 'Depthwise'}, Value: 0.6062280422024321
Trial 297, Params: {'learning_rate': 0.06942321361668875, 'depth': 10, 'colsample_bylevel': 0.9273833204699948, 'min_data_in_leaf': 44, 'l2_leaf_reg': 1.0023067571688868, 'grow_policy': 'Depthwise'}, Value: 0.5925963480375916
Trial 298, Params: {'learning_rate': 0.09012339180121992, 'depth': 10, 'colsample_bylevel': 0.9446769880603538, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.1091477918282768, 'grow_policy': 'Depthwise'}, Value: 0.6270772016170317
Trial 299, Params: {'learning_rate': 0.07813205190344663, 'depth': 9, 'colsample_bylevel': 0.976596328570534, 'min_data_in_leaf': 39, 'l2_leaf_reg': 2.5164254845020726, 'grow_policy': 'Depthwise'}, Value: 0.5974373049771857
Trial 300, Params: {'learning_rate': 0.09984572316166934, 'depth': 10, 'colsample_bylevel': 0.8840914260254129, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.293954036736909, 'grow_policy': 'Depthwise'}, Value: 0.6352270768098489
Trial 301, Params: {'learning_rate': 0.0864671378452023, 'depth': 10, 'colsample_bylevel': 0.8773919927602021, 'min_data_in_leaf': 33, 'l2_leaf_reg': 1.3627792447063365, 'grow_policy': 'Depthwise'}, Value: 0.6162475703972138
Trial 302, Params: {'learning_rate': 0.09189204460075942, 'depth': 10, 'colsample_bylevel': 0.8483710031357855, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.1523419815363163, 'grow_policy': 'Depthwise'}, Value: 0.6219794817714769
Trial 303, Params: {'learning_rate': 0.09975034315641115, 'depth': 10, 'colsample_bylevel': 0.8898668577781705, 'min_data_in_leaf': 35, 'l2_leaf_reg': 1.064799671099934, 'grow_policy': 'Depthwise'}, Value: 0.6299661128847409
Trial 304, Params: {'learning_rate': 0.08352834722576627, 'depth': 10, 'colsample_bylevel': 0.8302097779350923, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.1179269098731823, 'grow_policy': 'Depthwise'}, Value: 0.6138162027743507
Trial 305, Params: {'learning_rate': 0.0914966623640668, 'depth': 10, 'colsample_bylevel': 0.8999933030379276, 'min_data_in_leaf': 61, 'l2_leaf_reg': 1.1774633074105039, 'grow_policy': 'Depthwise'}, Value: 0.6234482165627682
Trial 306, Params: {'learning_rate': 0.07540420786305026, 'depth': 10, 'colsample_bylevel': 0.8552490408902326, 'min_data_in_leaf': 32, 'l2_leaf_reg': 1.2707925753047942, 'grow_policy': 'Depthwise'}, Value: 0.5934316457918482
Trial 307, Params: {'learning_rate': 0.09204618525488543, 'depth': 7, 'colsample_bylevel': 0.8732323698646387, 'min_data_in_leaf': 64, 'l2_leaf_reg': 1.0447034539666975, 'grow_policy': 'Lossguide'}, Value: 0.5535289703825343
Trial 308, Params: {'learning_rate': 0.099745765831734, 'depth': 10, 'colsample_bylevel': 0.9164975281083868, 'min_data_in_leaf': 34, 'l2_leaf_reg': 1.0968942172304952, 'grow_policy': 'Depthwise'}, Value: 0.632575628378399
Trial 309, Params: {'learning_rate': 0.08370551793570308, 'depth': 10, 'colsample_bylevel': 0.8899806719932764, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.1906928549317348, 'grow_policy': 'Depthwise'}, Value: 0.6144689511959496
Trial 310, Params: {'learning_rate': 0.09144713940990958, 'depth': 10, 'colsample_bylevel': 0.9100365896036557, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.294333883587073, 'grow_policy': 'SymmetricTree'}, Value: 0.58084128452715
Trial 311, Params: {'learning_rate': 0.08103636801453262, 'depth': 10, 'colsample_bylevel': 0.9320615112054561, 'min_data_in_leaf': 35, 'l2_leaf_reg': 1.0489227125607623, 'grow_policy': 'Depthwise'}, Value: 0.6111926457536828
Trial 312, Params: {'learning_rate': 0.08968718745847555, 'depth': 9, 'colsample_bylevel': 0.8684224100188103, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.1392530763967685, 'grow_policy': 'Depthwise'}, Value: 0.6063225462366073
Trial 313, Params: {'learning_rate': 0.09245853220611039, 'depth': 10, 'colsample_bylevel': 0.9027080519204429, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.0787811772651408, 'grow_policy': 'Depthwise'}, Value: 0.6284091434937767
Trial 314, Params: {'learning_rate': 0.09963464422667781, 'depth': 10, 'colsample_bylevel': 0.8862049789581234, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.2040400754938143, 'grow_policy': 'Depthwise'}, Value: 0.6361336881753363
Trial 315, Params: {'learning_rate': 0.07338572694090265, 'depth': 10, 'colsample_bylevel': 0.8568968382343184, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.2142192698351169, 'grow_policy': 'Depthwise'}, Value: 0.5976611653047106
Trial 316, Params: {'learning_rate': 0.08404317742460657, 'depth': 10, 'colsample_bylevel': 0.8833337921908789, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.3520469193623983, 'grow_policy': 'Depthwise'}, Value: 0.6111766730457149
Trial 317, Params: {'learning_rate': 0.09148664416252822, 'depth': 10, 'colsample_bylevel': 0.8805582135667879, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.2801920568766343, 'grow_policy': 'Depthwise'}, Value: 0.6206966378740981
Trial 318, Params: {'learning_rate': 0.08463848845223017, 'depth': 10, 'colsample_bylevel': 0.899322678520748, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.1724765036410716, 'grow_policy': 'Depthwise'}, Value: 0.6129478072768794
Trial 319, Params: {'learning_rate': 0.09240109795330748, 'depth': 10, 'colsample_bylevel': 0.8308518273137071, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.2296759081070383, 'grow_policy': 'Depthwise'}, Value: 0.623539015422406
Trial 320, Params: {'learning_rate': 0.09918940511168232, 'depth': 10, 'colsample_bylevel': 0.85687600831068, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.135241904086149, 'grow_policy': 'Depthwise'}, Value: 0.6336074947973865
Trial 321, Params: {'learning_rate': 0.07880497400260643, 'depth': 10, 'colsample_bylevel': 0.947131017335571, 'min_data_in_leaf': 39, 'l2_leaf_reg': 3.301103365679093, 'grow_policy': 'Depthwise'}, Value: 0.5953676199106197
Trial 322, Params: {'learning_rate': 0.0999094772845517, 'depth': 10, 'colsample_bylevel': 0.9086348281994691, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.1128633108515564, 'grow_policy': 'Depthwise'}, Value: 0.6333731268366979
Trial 323, Params: {'learning_rate': 0.086721295151906, 'depth': 9, 'colsample_bylevel': 0.8828253489591765, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.000655689255986, 'grow_policy': 'Depthwise'}, Value: 0.611501809376551
Trial 324, Params: {'learning_rate': 0.06872998071363642, 'depth': 10, 'colsample_bylevel': 0.6796928105978522, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.1920190084026447, 'grow_policy': 'Depthwise'}, Value: 0.5799826147746809
Trial 325, Params: {'learning_rate': 0.0915909192613472, 'depth': 10, 'colsample_bylevel': 0.14962651019313372, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.1463871513412482, 'grow_policy': 'Depthwise'}, Value: 0.5546703270749962
Trial 326, Params: {'learning_rate': 0.079050911356859, 'depth': 10, 'colsample_bylevel': 0.9356945355875299, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.316162356374587, 'grow_policy': 'Depthwise'}, Value: 0.6093955020367214
Trial 327, Params: {'learning_rate': 0.0993686266768944, 'depth': 10, 'colsample_bylevel': 0.8678907155579325, 'min_data_in_leaf': 34, 'l2_leaf_reg': 2.0374645922425203, 'grow_policy': 'Depthwise'}, Value: 0.6302233097647175
Trial 328, Params: {'learning_rate': 0.09969822642800198, 'depth': 10, 'colsample_bylevel': 0.9203916009627566, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.090299295305593, 'grow_policy': 'Depthwise'}, Value: 0.6312942702752581
Trial 329, Params: {'learning_rate': 0.08598132403412002, 'depth': 10, 'colsample_bylevel': 0.9599828760544933, 'min_data_in_leaf': 44, 'l2_leaf_reg': 1.2388791143591262, 'grow_policy': 'Depthwise'}, Value: 0.613300335498872
Trial 330, Params: {'learning_rate': 0.09138164677655328, 'depth': 10, 'colsample_bylevel': 0.8939718851615349, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.1736935541556286, 'grow_policy': 'Depthwise'}, Value: 0.6265985544972572
Trial 331, Params: {'learning_rate': 0.08481774636631917, 'depth': 10, 'colsample_bylevel': 0.8079128827424411, 'min_data_in_leaf': 93, 'l2_leaf_reg': 1.0836485346562668, 'grow_policy': 'Lossguide'}, Value: 0.5433265336012327
Trial 332, Params: {'learning_rate': 0.09986853214361417, 'depth': 10, 'colsample_bylevel': 0.9124384147776865, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.1299968113024803, 'grow_policy': 'Depthwise'}, Value: 0.6301530964509366
Trial 333, Params: {'learning_rate': 0.011591080092963004, 'depth': 10, 'colsample_bylevel': 0.9403541092859145, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.435342868548526, 'grow_policy': 'Depthwise'}, Value: 0.3157034934585211
Trial 334, Params: {'learning_rate': 0.09993918254985869, 'depth': 10, 'colsample_bylevel': 0.852443264766104, 'min_data_in_leaf': 46, 'l2_leaf_reg': 1.0554356210678442, 'grow_policy': 'SymmetricTree'}, Value: 0.5914027793120207
Trial 335, Params: {'learning_rate': 0.0023704565944137183, 'depth': 10, 'colsample_bylevel': 0.892926171930724, 'min_data_in_leaf': 33, 'l2_leaf_reg': 1.0051831770938149, 'grow_policy': 'Depthwise'}, Value: 0.09329196240412832
Trial 336, Params: {'learning_rate': 0.07504462006237234, 'depth': 10, 'colsample_bylevel': 0.8744849116689919, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.213762991654901, 'grow_policy': 'Depthwise'}, Value: 0.593956085568119
Trial 337, Params: {'learning_rate': 0.09118902761966155, 'depth': 10, 'colsample_bylevel': 0.9641230703305879, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.2687204185731102, 'grow_policy': 'Depthwise'}, Value: 0.6204083523625237
Trial 338, Params: {'learning_rate': 0.08111459333954843, 'depth': 10, 'colsample_bylevel': 0.9274693201287535, 'min_data_in_leaf': 38, 'l2_leaf_reg': 1.1029358054374223, 'grow_policy': 'Depthwise'}, Value: 0.6085421607774709
Trial 339, Params: {'learning_rate': 0.04206894889739677, 'depth': 10, 'colsample_bylevel': 0.907943734892688, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.1586819756775268, 'grow_policy': 'Depthwise'}, Value: 0.5114570945601823
Trial 340, Params: {'learning_rate': 0.08992674024073634, 'depth': 10, 'colsample_bylevel': 0.9810182601573176, 'min_data_in_leaf': 58, 'l2_leaf_reg': 1.0448419119206964, 'grow_policy': 'Depthwise'}, Value: 0.6231117144385069
Trial 341, Params: {'learning_rate': 0.09119733988272649, 'depth': 8, 'colsample_bylevel': 0.9511161128131093, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.1953072845421029, 'grow_policy': 'Depthwise'}, Value: 0.6084194406742449
Trial 342, Params: {'learning_rate': 0.09995451685478206, 'depth': 10, 'colsample_bylevel': 0.834203552922526, 'min_data_in_leaf': 35, 'l2_leaf_reg': 1.00031108630036, 'grow_policy': 'Depthwise'}, Value: 0.6346346073783661
Trial 343, Params: {'learning_rate': 0.08690536814420806, 'depth': 10, 'colsample_bylevel': 0.7966746361348518, 'min_data_in_leaf': 33, 'l2_leaf_reg': 1.006172622759023, 'grow_policy': 'Depthwise'}, Value: 0.6159496776150035
Trial 344, Params: {'learning_rate': 0.09990824617160593, 'depth': 9, 'colsample_bylevel': 0.8192233366033808, 'min_data_in_leaf': 35, 'l2_leaf_reg': 1.0002702448438776, 'grow_policy': 'Depthwise'}, Value: 0.624726691224802
Trial 345, Params: {'learning_rate': 0.0800534592805019, 'depth': 10, 'colsample_bylevel': 0.835468628454624, 'min_data_in_leaf': 31, 'l2_leaf_reg': 1.0567159350389466, 'grow_policy': 'Depthwise'}, Value: 0.6057156433033346
Trial 346, Params: {'learning_rate': 0.0012851614516261561, 'depth': 10, 'colsample_bylevel': 0.8447891507600398, 'min_data_in_leaf': 35, 'l2_leaf_reg': 3.777526030667286, 'grow_policy': 'Depthwise'}, Value: 0.04868174503471101
Trial 347, Params: {'learning_rate': 0.09996857305841449, 'depth': 10, 'colsample_bylevel': 0.7754231258548153, 'min_data_in_leaf': 35, 'l2_leaf_reg': 1.0844858482299926, 'grow_policy': 'Depthwise'}, Value: 0.6273679049219684
Trial 348, Params: {'learning_rate': 0.08664361747052478, 'depth': 10, 'colsample_bylevel': 0.7915823769325032, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.0384790953118672, 'grow_policy': 'Depthwise'}, Value: 0.612852006411556
Trial 349, Params: {'learning_rate': 0.008394095690689532, 'depth': 10, 'colsample_bylevel': 0.8217732901290276, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.1099807172581846, 'grow_policy': 'Depthwise'}, Value: 0.2599678009132795
Trial 350, Params: {'learning_rate': 0.07265331610513863, 'depth': 10, 'colsample_bylevel': 0.8649860330096445, 'min_data_in_leaf': 34, 'l2_leaf_reg': 1.0002118162685474, 'grow_policy': 'Depthwise'}, Value: 0.5960498232558351
Trial 351, Params: {'learning_rate': 0.09125553037692406, 'depth': 10, 'colsample_bylevel': 0.8824386629128397, 'min_data_in_leaf': 36, 'l2_leaf_reg': 1.0615369466247309, 'grow_policy': 'Lossguide'}, Value: 0.543875231502511
Trial 352, Params: {'learning_rate': 0.09212133732770028, 'depth': 10, 'colsample_bylevel': 0.8948996775283643, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.143077782049306, 'grow_policy': 'Depthwise'}, Value: 0.6248165648296065
Trial 353, Params: {'learning_rate': 0.09988479170441186, 'depth': 10, 'colsample_bylevel': 0.8600653394895366, 'min_data_in_leaf': 45, 'l2_leaf_reg': 1.0794008612054395, 'grow_policy': 'Depthwise'}, Value: 0.633600242407281
Trial 354, Params: {'learning_rate': 0.08088840126173377, 'depth': 10, 'colsample_bylevel': 0.8792313261176239, 'min_data_in_leaf': 32, 'l2_leaf_reg': 1.0434030049291825, 'grow_policy': 'Depthwise'}, Value: 0.6123640593638763
Trial 355, Params: {'learning_rate': 0.034014804229138024, 'depth': 10, 'colsample_bylevel': 0.8363901862122727, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.1134385911877072, 'grow_policy': 'SymmetricTree'}, Value: 0.4615024041182359
Trial 356, Params: {'learning_rate': 0.08569290817438849, 'depth': 10, 'colsample_bylevel': 0.9145902545041363, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.2489939884711316, 'grow_policy': 'Depthwise'}, Value: 0.6196830838914343
Trial 357, Params: {'learning_rate': 0.09039742845752213, 'depth': 10, 'colsample_bylevel': 0.8981035560905737, 'min_data_in_leaf': 53, 'l2_leaf_reg': 1.3207986658586444, 'grow_policy': 'Depthwise'}, Value: 0.6190214042556598
Trial 358, Params: {'learning_rate': 0.09990146330041502, 'depth': 10, 'colsample_bylevel': 0.8648453498128238, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.153767778524411, 'grow_policy': 'Depthwise'}, Value: 0.6342639471089264
Trial 359, Params: {'learning_rate': 0.07914964164456302, 'depth': 9, 'colsample_bylevel': 0.8430841321167204, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.1770566624558667, 'grow_policy': 'Depthwise'}, Value: 0.5945986939985499
Trial 360, Params: {'learning_rate': 0.0999841346255375, 'depth': 5, 'colsample_bylevel': 0.8534416417798952, 'min_data_in_leaf': 41, 'l2_leaf_reg': 6.0667056815325555, 'grow_policy': 'Depthwise'}, Value: 0.5519915738544279
Trial 361, Params: {'learning_rate': 0.0918450710311336, 'depth': 10, 'colsample_bylevel': 0.8155465734178758, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.206101569998954, 'grow_policy': 'Depthwise'}, Value: 0.6221988221796366
Trial 362, Params: {'learning_rate': 0.02512664080556908, 'depth': 10, 'colsample_bylevel': 0.866345207444416, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.1421823843503502, 'grow_policy': 'Depthwise'}, Value: 0.43570736675706667
Trial 363, Params: {'learning_rate': 0.08467962703047904, 'depth': 10, 'colsample_bylevel': 0.872868916640505, 'min_data_in_leaf': 44, 'l2_leaf_reg': 1.039530359280468, 'grow_policy': 'Depthwise'}, Value: 0.613800052947353
Trial 364, Params: {'learning_rate': 0.06597064398426754, 'depth': 10, 'colsample_bylevel': 0.832012356836873, 'min_data_in_leaf': 42, 'l2_leaf_reg': 1.3780808402272902, 'grow_policy': 'Depthwise'}, Value: 0.5733327263207113
Trial 365, Params: {'learning_rate': 0.09202886292286017, 'depth': 10, 'colsample_bylevel': 0.8798060842050494, 'min_data_in_leaf': 100, 'l2_leaf_reg': 1.2755669176389461, 'grow_policy': 'Depthwise'}, Value: 0.6138531318036584
Trial 366, Params: {'learning_rate': 0.07469509304444669, 'depth': 10, 'colsample_bylevel': 0.859761162494316, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.8151481767810784, 'grow_policy': 'Depthwise'}, Value: 0.5922173155934862
Trial 367, Params: {'learning_rate': 0.0928223966688203, 'depth': 10, 'colsample_bylevel': 0.8951921301402105, 'min_data_in_leaf': 38, 'l2_leaf_reg': 2.7889321604104143, 'grow_policy': 'Depthwise'}, Value: 0.6231342113692406
Trial 368, Params: {'learning_rate': 0.09996504156436165, 'depth': 10, 'colsample_bylevel': 0.8854008606128383, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.0820339371685634, 'grow_policy': 'Depthwise'}, Value: 0.6365896578815515
Trial 369, Params: {'learning_rate': 0.0839769929512414, 'depth': 10, 'colsample_bylevel': 0.8435680408517782, 'min_data_in_leaf': 50, 'l2_leaf_reg': 1.12816136977251, 'grow_policy': 'Depthwise'}, Value: 0.6155148791048222
Trial 370, Params: {'learning_rate': 0.09157804445049346, 'depth': 10, 'colsample_bylevel': 0.8753697163243183, 'min_data_in_leaf': 67, 'l2_leaf_reg': 1.0005878305691764, 'grow_policy': 'Depthwise'}, Value: 0.6215163490960304
Trial 371, Params: {'learning_rate': 0.0999259901825211, 'depth': 10, 'colsample_bylevel': 0.9113941164607571, 'min_data_in_leaf': 48, 'l2_leaf_reg': 1.2215037568191471, 'grow_policy': 'Depthwise'}, Value: 0.635096900001219
Trial 372, Params: {'learning_rate': 0.07915701548520505, 'depth': 10, 'colsample_bylevel': 0.9154640801795169, 'min_data_in_leaf': 51, 'l2_leaf_reg': 1.2982594283271076, 'grow_policy': 'Depthwise'}, Value: 0.6047483377221781
Trial 373, Params: {'learning_rate': 0.08597476657598738, 'depth': 10, 'colsample_bylevel': 0.9146179605913436, 'min_data_in_leaf': 48, 'l2_leaf_reg': 1.2441263051532756, 'grow_policy': 'Depthwise'}, Value: 0.6177312181125365
Trial 374, Params: {'learning_rate': 0.09197173360647244, 'depth': 10, 'colsample_bylevel': 0.8915692098762995, 'min_data_in_leaf': 49, 'l2_leaf_reg': 1.2049094043623418, 'grow_policy': 'Lossguide'}, Value: 0.5486683461489785
Trial 375, Params: {'learning_rate': 0.09981454274907796, 'depth': 4, 'colsample_bylevel': 0.9266947193357743, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.080397294128399, 'grow_policy': 'Depthwise'}, Value: 0.5164897178009312
Trial 376, Params: {'learning_rate': 0.08560371260417603, 'depth': 10, 'colsample_bylevel': 0.9065015122556644, 'min_data_in_leaf': 46, 'l2_leaf_reg': 1.3542356468924828, 'grow_policy': 'Depthwise'}, Value: 0.6146114288102916
Trial 377, Params: {'learning_rate': 0.07406505772512191, 'depth': 10, 'colsample_bylevel': 0.9340859800655826, 'min_data_in_leaf': 45, 'l2_leaf_reg': 1.2029492822950012, 'grow_policy': 'Depthwise'}, Value: 0.596193421547582
Trial 378, Params: {'learning_rate': 0.09221430179135917, 'depth': 10, 'colsample_bylevel': 0.9015095440616552, 'min_data_in_leaf': 46, 'l2_leaf_reg': 1.0401723790478465, 'grow_policy': 'SymmetricTree'}, Value: 0.5841701634487844
Trial 379, Params: {'learning_rate': 0.09963197072620215, 'depth': 10, 'colsample_bylevel': 0.9866913400977252, 'min_data_in_leaf': 49, 'l2_leaf_reg': 1.1041310929033128, 'grow_policy': 'Depthwise'}, Value: 0.6356606426510132
Trial 380, Params: {'learning_rate': 0.09971123939502008, 'depth': 10, 'colsample_bylevel': 0.9457887527794225, 'min_data_in_leaf': 48, 'l2_leaf_reg': 1.0894635682925564, 'grow_policy': 'Depthwise'}, Value: 0.636359921734044
Trial 381, Params: {'learning_rate': 0.0844260049716354, 'depth': 9, 'colsample_bylevel': 0.7530902993630911, 'min_data_in_leaf': 48, 'l2_leaf_reg': 1.1105540592419691, 'grow_policy': 'Depthwise'}, Value: 0.6048076275974072
Trial 382, Params: {'learning_rate': 0.09139379559656403, 'depth': 8, 'colsample_bylevel': 0.8821819586537326, 'min_data_in_leaf': 49, 'l2_leaf_reg': 1.1418064998335122, 'grow_policy': 'Depthwise'}, Value: 0.6124390501852343
Trial 383, Params: {'learning_rate': 0.0794811619780688, 'depth': 10, 'colsample_bylevel': 0.949584622694777, 'min_data_in_leaf': 52, 'l2_leaf_reg': 1.081535332072326, 'grow_policy': 'Depthwise'}, Value: 0.6023613655823745
Trial 384, Params: {'learning_rate': 0.09980320102243795, 'depth': 10, 'colsample_bylevel': 0.9980910961613414, 'min_data_in_leaf': 50, 'l2_leaf_reg': 1.1691664690256949, 'grow_policy': 'Depthwise'}, Value: 0.635058449648485
Trial 385, Params: {'learning_rate': 0.0906145292074562, 'depth': 10, 'colsample_bylevel': 0.9972560903811181, 'min_data_in_leaf': 51, 'l2_leaf_reg': 1.240445019585115, 'grow_policy': 'Depthwise'}, Value: 0.6223847767130164
Trial 386, Params: {'learning_rate': 0.0997519971632866, 'depth': 10, 'colsample_bylevel': 0.9998615234471313, 'min_data_in_leaf': 50, 'l2_leaf_reg': 1.1831453381810182, 'grow_policy': 'Depthwise'}, Value: 0.6337063915781685
Trial 387, Params: {'learning_rate': 0.08370692665524367, 'depth': 10, 'colsample_bylevel': 0.9908188267115077, 'min_data_in_leaf': 49, 'l2_leaf_reg': 1.2998270008207644, 'grow_policy': 'Depthwise'}, Value: 0.6116552959337247
Trial 388, Params: {'learning_rate': 0.09189587810226917, 'depth': 10, 'colsample_bylevel': 0.9723192707949175, 'min_data_in_leaf': 49, 'l2_leaf_reg': 1.2256793454710575, 'grow_policy': 'Depthwise'}, Value: 0.6262606539730762
Trial 389, Params: {'learning_rate': 0.0712159258085076, 'depth': 10, 'colsample_bylevel': 0.9796701054774617, 'min_data_in_leaf': 54, 'l2_leaf_reg': 1.172870245152154, 'grow_policy': 'Depthwise'}, Value: 0.5867350608153293
Trial 390, Params: {'learning_rate': 0.0850474546986008, 'depth': 10, 'colsample_bylevel': 0.9670653892414397, 'min_data_in_leaf': 48, 'l2_leaf_reg': 1.1208314486438722, 'grow_policy': 'Depthwise'}, Value: 0.6162780931863308
Trial 391, Params: {'learning_rate': 0.07875768269772489, 'depth': 10, 'colsample_bylevel': 0.9542575848078061, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.1593344293665913, 'grow_policy': 'Depthwise'}, Value: 0.603933576594675
Trial 392, Params: {'learning_rate': 0.0918098266234644, 'depth': 10, 'colsample_bylevel': 0.9457100054504646, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.1922816902361915, 'grow_policy': 'Depthwise'}, Value: 0.625879773410648
Trial 393, Params: {'learning_rate': 0.0999037807833505, 'depth': 10, 'colsample_bylevel': 0.9843348612579979, 'min_data_in_leaf': 52, 'l2_leaf_reg': 1.264766437201378, 'grow_policy': 'Depthwise'}, Value: 0.6349495372577418
Trial 394, Params: {'learning_rate': 0.0921845274253495, 'depth': 10, 'colsample_bylevel': 0.9249203141549612, 'min_data_in_leaf': 50, 'l2_leaf_reg': 1.1108019164899114, 'grow_policy': 'Depthwise'}, Value: 0.6235560780712446
Trial 395, Params: {'learning_rate': 0.08506289013397493, 'depth': 10, 'colsample_bylevel': 0.9092870795302436, 'min_data_in_leaf': 47, 'l2_leaf_reg': 1.4168612744936182, 'grow_policy': 'Depthwise'}, Value: 0.6122037184138149
Trial 396, Params: {'learning_rate': 0.09242331083131844, 'depth': 9, 'colsample_bylevel': 0.9676279532624025, 'min_data_in_leaf': 51, 'l2_leaf_reg': 1.0832334529658705, 'grow_policy': 'Depthwise'}, Value: 0.6235925764547087
Trial 397, Params: {'learning_rate': 0.07715668976782217, 'depth': 10, 'colsample_bylevel': 0.9269949308113761, 'min_data_in_leaf': 48, 'l2_leaf_reg': 1.2367480318696016, 'grow_policy': 'Depthwise'}, Value: 0.6044227298381649
